atm_id,atm_name,latitude,longitude,city,region,type,active,source_type
ATM-001,Chennai POS 001,13.104943,80.259324,Chennai,Tamil Nadu,POS,true,SYNTHETIC
ATM-002,Bengaluru ATM 002,13.049142,77.631941,Bengaluru,Karnataka,ATM,true,SYNTHETIC
ATM-003,Hyderabad ATM 003,17.313459,78.49255,Hyderabad,Telangana,ATM,true,SYNTHETIC
ATM-004,Coimbatore ATM 004,10.96691,76.983244,Coimbatore,Tamil Nadu,ATM,true,SYNTHETIC
ATM-005,Pune POS 005,18.600804,73.85061,Pune,Maharashtra,POS,true,SYNTHETIC
ATM-006,Vijayawada ATM 006,16.451183,80.732053,Vijayawada,Andhra Pradesh,ATM,true,SYNTHETIC
ATM-007,Chennai ATM 007,13.136762,80.22824,Chennai,Tamil Nadu,ATM,true,SYNTHETIC
ATM-008,Bengaluru ATM 008,12.904996,77.59476,Bengaluru,Karnataka,ATM,true,SYNTHETIC
ATM-009,Hyderabad POS 009,17.426055,78.511037,Hyderabad,Telangana,POS,true,SYNTHETIC
ATM-010,Coimbatore ATM 010,10.907645,76.949372,Coimbatore,Tamil Nadu,ATM,true,SYNTHETIC
ATM-011,Pune ATM 011,18.594614,73.757966,Pune,Maharashtra,ATM,true,SYNTHETIC
ATM-012,Vijayawada ATM 012,16.526511,80.544938,Vijayawada,Andhra Pradesh,ATM,true,SYNTHETIC
ATM-013,Chennai POS 013,13.03143,80.174292,Chennai,Tamil Nadu,POS,true,SYNTHETIC
ATM-014,Bengaluru ATM 014,12.902452,77.65698,Bengaluru,Karnataka,ATM,true,SYNTHETIC
ATM-015,Hyderabad ATM 015,17.391674,78.382667,Hyderabad,Telangana,ATM,true,SYNTHETIC
ATM-016,Coimbatore ATM 016,10.944861,77.031191,Coimbatore,Tamil Nadu,ATM,true,SYNTHETIC
ATM-017,Pune POS 017,18.517703,73.924685,Pune,Maharashtra,POS,true,SYNTHETIC
ATM-018,Vijayawada ATM 018,16.466482,80.636977,Vijayawada,Andhra Pradesh,ATM,true,SYNTHETIC
ATM-019,Chennai ATM 019,12.980937,80.172006,Chennai,Tamil Nadu,ATM,true,SYNTHETIC
ATM-020,Bengaluru ATM 020,12.984052,77.61588,Bengaluru,Karnataka,ATM,true,SYNTHETIC
ATM-021,Hyderabad POS 021,17.328938,78.518753,Hyderabad,Telangana,POS,true,SYNTHETIC
ATM-022,Coimbatore ATM 022,10.952892,76.912599,Coimbatore,Tamil Nadu,ATM,true,SYNTHETIC
ATM-023,Pune ATM 023,18.572897,73.935616,Pune,Maharashtra,ATM,true,SYNTHETIC
ATM-024,Vijayawada ATM 024,16.507959,80.582922,Vijayawada,Andhra Pradesh,ATM,true,SYNTHETIC
ATM-025,Chennai POS 025,13.035226,80.225158,Chennai,Tamil Nadu,POS,true,SYNTHETIC
ATM-026,Bengaluru ATM 026,12.878033,77.629769,Bengaluru,Karnataka,ATM,true,SYNTHETIC
ATM-027,Hyderabad ATM 027,17.424769,78.529179,Hyderabad,Telangana,ATM,true,SYNTHETIC
ATM-028,Coimbatore ATM 028,11.110925,76.865153,Coimbatore,Tamil Nadu,ATM,true,SYNTHETIC
ATM-029,Pune POS 029,18.618022,73.84155,Pune,Maharashtra,POS,true,SYNTHETIC
ATM-030,Vijayawada ATM 030,16.603505,80.568206,Vijayawada,Andhra Pradesh,ATM,true,SYNTHETIC
