case_id,candidate_atm_id,distance_from_last_activity,distance_from_previous_withdrawal,regional_match,time_compatibility,historical_area_score,is_actual_withdrawal,split,source_type
CASE-00001,ATM-001,2.76,3.82,1,0.679,0.209,0,TRAIN,SYNTHETIC
CASE-00001,ATM-073,3.01,2.65,1,0.625,0.75,0,TRAIN,SYNTHETIC
CASE-00001,ATM-103,4.3,5.45,1,0.72,0.878,0,TRAIN,SYNTHETIC
CASE-00001,ATM-043,5.15,4.01,1,0.474,0.573,0,TRAIN,SYNTHETIC
CASE-00001,ATM-115,5.3,7.22,1,0.74,0.664,0,TRAIN,SYNTHETIC
CASE-00001,ATM-085,7.22,9.3,1,0.809,0.692,0,TRAIN,SYNTHETIC
CASE-00001,ATM-025,7.23,6.96,1,0.664,0.269,0,TRAIN,SYNTHETIC
CASE-00001,ATM-067,7.39,9.81,1,0.513,0.392,0,TRAIN,SYNTHETIC
CASE-00002,ATM-020,2.69,3.76,1,0.66,0.866,0,TRAIN,SYNTHETIC
CASE-00002,ATM-086,2.9,4.08,1,0.819,0.184,0,TRAIN,SYNTHETIC
CASE-00002,ATM-032,3.44,4.32,1,0.488,0.555,0,TRAIN,SYNTHETIC
CASE-00002,ATM-074,4.87,5.1,1,0.618,0.547,0,TRAIN,SYNTHETIC
CASE-00002,ATM-116,5.43,4.26,1,0.676,0.17,0,TRAIN,SYNTHETIC
CASE-00002,ATM-110,6.49,7.9,1,0.903,0.67,0,TRAIN,SYNTHETIC
CASE-00002,ATM-080,6.52,7.58,1,0.739,0.625,0,TRAIN,SYNTHETIC
CASE-00002,ATM-008,7.41,7.77,1,0.755,0.095,0,TRAIN,SYNTHETIC
CASE-00003,ATM-099,4.13,3.49,1,0.583,0.579,0,TRAIN,SYNTHETIC
CASE-00003,ATM-075,4.56,2.71,1,0.817,0.147,0,TRAIN,SYNTHETIC
CASE-00003,ATM-009,5.24,3.5,1,0.589,0.722,0,TRAIN,SYNTHETIC
CASE-00003,ATM-105,5.66,6.44,1,0.987,0.356,0,TRAIN,SYNTHETIC
CASE-00003,ATM-027,6.31,5.52,1,0.722,0.135,0,TRAIN,SYNTHETIC
CASE-00003,ATM-021,7.1,9.16,1,0.576,0.104,0,TRAIN,SYNTHETIC
CASE-00003,ATM-081,7.72,5.13,1,0.611,0.295,0,TRAIN,SYNTHETIC
CASE-00003,ATM-022,735.05,779.84,0,0.844,0.224,1,TRAIN,SYNTHETIC
CASE-00004,ATM-046,1.99,1.9,1,0.562,0.837,0,TRAIN,SYNTHETIC
CASE-00004,ATM-040,2.48,2.72,1,0.551,0.824,0,TRAIN,SYNTHETIC
CASE-00004,ATM-064,2.56,3.43,1,0.714,0.56,0,TRAIN,SYNTHETIC
