case_id,complaint_id,fraud_label,cashout_label,pattern,transaction_count,suspicious_transaction_count,transaction_frequency,transaction_velocity,amount_deviation,hop_count,unique_accounts,transfer_chain_length,amount_decay_across_hops,rapid_transfer_flag,account_activity_frequency,account_risk,new_destination_flag,destination_concentration,previous_withdrawal_count,average_withdrawal_amount,hour,day_of_week,time_since_last_transaction,time_since_first_suspicious_transaction,split,source_type
CASE-00001,CMP-100001,0,0,NORMAL,8,0,0.3333,8,12318.25,1,13,2,,0,1,LOW,1,1,0,0,1,4,0,,TRAIN,SYNTHETIC
CASE-00002,CMP-100002,0,0,NORMAL,9,0,0.375,9,9598.33,0,16,1,,0,1,LOW,1,1,0,0,2,4,0,,TRAIN,SYNTHETIC
CASE-00003,CMP-100003,1,1,PROXIMITY,7,1,0.2917,4.1176,16237.86,1,14,2,0.8533,0,1,LOW,1,1,0,0,4,4,0,0,TRAIN,SYNTHETIC
CASE-00004,CMP-100004,1,1,DELAYED,7,0,0.2917,7,10268.57,0,14,1,1,0,1,LOW,1,1,0,0,4,4,0,,TRAIN,SYNTHETIC
CASE-00005,CMP-100005,1,1,MULTI_CANDIDATE,10,0,0.4167,10,11856.7,0,20,1,1,0,1,MEDIUM,1,1,0,0,5,4,0,,TRAIN,SYNTHETIC
CASE-00006,CMP-100006,0,0,NORMAL,6,0,0.25,6,8531.17,0,12,1,,0,1,LOW,1,1,0,0,6,4,0,,TRAIN,SYNTHETIC
CASE-00007,CMP-100007,0,0,NORMAL,9,0,0.375,9,12232,1,18,2,,0,1,LOW,1,1,0,0,7,4,0,,TRAIN,SYNTHETIC
CASE-00008,CMP-100008,0,0,NORMAL,6,0,0.25,6,8515.83,0,12,1,,0,1,LOW,1,1,0,0,8,4,0,,TRAIN,SYNTHETIC
CASE-00009,CMP-100009,0,0,NORMAL,9,0,0.375,9,13442,0,18,1,,0,1,LOW,1,1,0,0,9,4,0,,TRAIN,SYNTHETIC
CASE-00010,CMP-100010,0,0,NORMAL,9,0,0.375,9,11737.11,0,18,1,,0,1,MEDIUM,1,1,0,0,10,4,0,,TRAIN,SYNTHETIC
CASE-00011,CMP-100011,1,1,RAPID,10,1,0.4167,10,18095.9,1,20,2,0.8924,1,1,HIGH,1,1,0,0,11,4,0,0,TRAIN,SYNTHETIC
CASE-00012,CMP-100012,0,0,NORMAL,6,0,0.25,6,6345.5,0,12,1,,0,1,LOW,1,1,0,0,12,4,0,,TRAIN,SYNTHETIC
CASE-00013,CMP-100013,1,1,PROXIMITY,9,1,0.375,4.0299,19496.11,1,18,2,0.8334,0,1,LOW,1,1,0,0,15,4,0,0,TRAIN,SYNTHETIC
CASE-00014,CMP-100014,1,1,DELAYED,8,0,0.3333,8,11392.63,0,16,1,1,0,1,LOW,1,1,0,0,14,4,0,,VALIDATION,SYNTHETIC
CASE-00015,CMP-100015,0,0,NORMAL,6,0,0.25,6,11919.17,0,12,1,,0,1,MEDIUM,1,1,0,0,15,4,0,,VALIDATION,SYNTHETIC
CASE-00016,CMP-100016,1,1,RAPID,7,1,0.2917,7,25989.86,1,14,2,0.8433,1,1,LOW,1,1,0,0,16,4,0,0,VALIDATION,SYNTHETIC
CASE-00017,CMP-100017,0,0,NORMAL,9,0,0.375,9,11128.56,0,18,1,,0,1,LOW,1,1,0,0,17,4,0,,TEST,SYNTHETIC
CASE-00018,CMP-100018,0,0,NORMAL,9,0,0.375,9,8292.56,1,18,2,,0,1,LOW,1,1,0,0,18,4,0,,TEST,SYNTHETIC
CASE-00019,CMP-100019,1,1,DELAYED,8,1,0.3333,0.5333,18028.5,1,16,2,0.9194,0,1,LOW,1,1,0,0,10,5,0,0,TEST,SYNTHETIC
CASE-00020,CMP-100020,0,0,NORMAL,7,0,0.2917,7,12844.86,0,14,1,,0,1,MEDIUM,1,1,0,0,20,4,0,,TRAIN,SYNTHETIC
