transaction_id,case_id,source_account,destination_account,amount,timestamp,transaction_type,fraud_label,location,risk,source_type
TXN-0000001,CASE-00001,ACC-00018,ACC-00023,13995,2025-12-31T06:00:00.000Z,UPI,0,Chennai,LOW,SYNTHETIC
TXN-0000002,CASE-00001,ACC-00019,ACC-00024,19928,2025-12-31T06:57:00.000Z,UPI,0,Chennai,LOW,SYNTHETIC
TXN-0000003,CASE-00001,ACC-00020,ACC-00025,20829,2025-12-31T16:54:00.000Z,IMPS,0,Chennai,LOW,SYNTHETIC
TXN-0000004,CASE-00001,ACC-00021,ACC-00026,10251,2025-12-31T13:51:00.000Z,IMPS,0,Chennai,LOW,SYNTHETIC
TXN-0000005,CASE-00001,ACC-00022,ACC-00027,7837,2025-12-31T13:48:00.000Z,TRANSFER,0,Chennai,LOW,SYNTHETIC
TXN-0000006,CASE-00001,ACC-00023,ACC-00028,6175,2025-12-31T18:45:00.000Z,TRANSFER,0,Chennai,LOW,SYNTHETIC
TXN-0000007,CASE-00001,ACC-00024,ACC-00029,4535,2025-12-31T13:42:00.000Z,NEFT,0,Chennai,LOW,SYNTHETIC
TXN-0000008,CASE-00001,ACC-00025,ACC-00030,14996,2025-12-31T17:39:00.000Z,NEFT,0,Chennai,LOW,SYNTHETIC
TXN-0000009,CASE-00002,ACC-00035,ACC-00042,11176,2025-12-31T17:00:00.000Z,UPI,0,Bengaluru,LOW,SYNTHETIC
TXN-0000010,CASE-00002,ACC-00036,ACC-00043,7479,2025-12-31T17:57:00.000Z,TRANSFER,0,Bengaluru,LOW,SYNTHETIC
TXN-0000011,CASE-00002,ACC-00037,ACC-00044,6140,2025-12-31T05:54:00.000Z,TRANSFER,0,Bengaluru,LOW,SYNTHETIC
TXN-0000012,CASE-00002,ACC-00038,ACC-00045,19702,2026-01-01T00:51:00.000Z,NEFT,0,Bengaluru,LOW,SYNTHETIC
TXN-0000013,CASE-00002,ACC-00039,ACC-00046,887,2025-12-31T12:48:00.000Z,TRANSFER,0,Bengaluru,LOW,SYNTHETIC
TXN-0000014,CASE-00002,ACC-00040,ACC-00047,1787,2025-12-31T21:45:00.000Z,UPI,0,Bengaluru,LOW,SYNTHETIC
TXN-0000015,CASE-00002,ACC-00041,ACC-00048,21272,2025-12-31T20:42:00.000Z,TRANSFER,0,Bengaluru,LOW,SYNTHETIC
