withdrawal_id,case_id,transaction_id,account_id,amount,timestamp,atm_id,latitude,longitude,withdrawal_status,source_type
WDR-0000001,CASE-00003,TXN-0000024,ACC-00047,16611,2026-01-01T05:05:00.000Z,ATM-034,10.923868,77.004112,FAILED,SYNTHETIC
WDR-0000002,CASE-00003,TXN-0000024,ACC-00047,19096,2026-01-01T05:30:00.000Z,ATM-022,10.952892,76.912599,SUCCESS,SYNTHETIC
WDR-0000003,CASE-00004,TXN-0000031,ACC-00009,50064,2026-01-02T04:00:00.000Z,ATM-045,17.493683,78.572544,SUCCESS,SYNTHETIC
WDR-0000004,CASE-00004,TXN-0000031,ACC-00009,54616,2026-01-02T04:16:00.000Z,ATM-026,12.878033,77.629769,SUCCESS,SYNTHETIC
WDR-0000005,CASE-00005,TXN-0000041,ACC-00011,37782,2026-01-01T05:27:00.000Z,ATM-056,12.935505,77.53013,SUCCESS,SYNTHETIC
WDR-0000006,CASE-00005,TXN-0000041,ACC-00011,49095,2026-01-01T06:16:00.000Z,ATM-034,10.923868,77.004112,SUCCESS,SYNTHETIC
WDR-0000007,CASE-00011,TXN-0000090,ACC-00151,24508,2026-01-01T11:36:00.000Z,ATM-002,13.049142,77.631941,SUCCESS,SYNTHETIC
WDR-0000008,CASE-00011,TXN-0000090,ACC-00151,25161,2026-01-01T12:40:00.000Z,ATM-061,12.974796,80.322933,SUCCESS,SYNTHETIC
WDR-0000009,CASE-00013,TXN-0000105,ACC-00177,29904,2026-01-01T15:22:00.000Z,ATM-024,16.507959,80.582922,SUCCESS,SYNTHETIC
WDR-0000010,CASE-00013,TXN-0000105,ACC-00177,39191,2026-01-01T16:04:00.000Z,ATM-092,12.893851,77.620724,FAILED,SYNTHETIC
WDR-0000011,CASE-00014,TXN-0000113,ACC-00029,37903,2026-01-03T01:00:00.000Z,ATM-035,18.616071,73.807915,SUCCESS,SYNTHETIC
WDR-0000012,CASE-00014,TXN-0000113,ACC-00029,34956,2026-01-03T01:37:00.000Z,ATM-014,12.902452,77.65698,SUCCESS,SYNTHETIC
WDR-0000013,CASE-00016,TXN-0000126,ACC-00216,59828,2026-01-01T16:26:00.000Z,ATM-057,17.413359,78.571813,FAILED,SYNTHETIC
WDR-0000014,CASE-00016,TXN-0000126,ACC-00216,42635,2026-01-01T16:51:00.000Z,ATM-071,18.446451,73.784283,SUCCESS,SYNTHETIC
WDR-0000015,CASE-00019,TXN-0000152,ACC-00255,36684,2026-01-03T06:00:00.000Z,ATM-090,16.511849,80.722883,SUCCESS,SYNTHETIC
WDR-0000016,CASE-00019,TXN-0000152,ACC-00255,35066,2026-01-03T06:45:00.000Z,ATM-088,11.085374,76.94246,SUCCESS,SYNTHETIC
WDR-0000017,CASE-00023,TXN-0000186,ACC-00307,54779,2026-01-02T01:53:00.000Z,ATM-014,12.902452,77.65698,SUCCESS,SYNTHETIC
WDR-0000018,CASE-00023,TXN-0000186,ACC-00307,46442,2026-01-02T02:52:00.000Z,ATM-042,16.467251,80.698471,SUCCESS,SYNTHETIC
WDR-0000019,CASE-00025,TXN-0000203,ACC-00051,10113,2026-01-02T01:39:00.000Z,ATM-036,16.551649,80.577517,SUCCESS,SYNTHETIC
WDR-0000020,CASE-00025,TXN-0000203,ACC-00051,13188,2026-01-02T02:26:00.000Z,ATM-065,18.450885,73.757144,SUCCESS,SYNTHETIC
WDR-0000021,CASE-00028,TXN-0000231,ACC-00372,50495,2026-01-02T05:07:00.000Z,ATM-069,17.323597,78.595274,SUCCESS,SYNTHETIC
WDR-0000022,CASE-00028,TXN-0000231,ACC-00372,55945,2026-01-02T06:28:00.000Z,ATM-077,18.519358,73.881091,SUCCESS,SYNTHETIC
WDR-0000023,CASE-00029,TXN-0000240,ACC-00059,6345,2026-01-04T03:00:00.000Z,ATM-080,12.927332,77.555124,SUCCESS,SYNTHETIC
WDR-0000024,CASE-00029,TXN-0000240,ACC-00059,6290,2026-01-04T04:04:00.000Z,ATM-081,17.422245,78.425296,SUCCESS,SYNTHETIC
WDR-0000025,CASE-00029,TXN-0000240,ACC-00059,7151,2026-01-04T04:29:00.000Z,ATM-005,18.600804,73.85061,SUCCESS,SYNTHETIC
WDR-0000026,CASE-00030,TXN-0000250,ACC-00061,19617,2026-01-02T06:42:00.000Z,ATM-091,13.169491,80.259723,SUCCESS,SYNTHETIC
WDR-0000027,CASE-00030,TXN-0000250,ACC-00061,14063,2026-01-02T07:52:00.000Z,ATM-080,12.927332,77.555124,SUCCESS,SYNTHETIC
WDR-0000028,CASE-00032,TXN-0000268,ACC-00425,34647,2026-01-02T10:41:00.000Z,ATM-113,18.442334,73.806782,SUCCESS,SYNTHETIC
WDR-0000029,CASE-00032,TXN-0000268,ACC-00425,47281,2026-01-02T10:54:00.000Z,ATM-120,16.499386,80.638993,SUCCESS,SYNTHETIC
WDR-0000030,CASE-00033,TXN-0000277,ACC-00437,6880,2026-01-02T12:01:00.000Z,ATM-004,10.96691,76.983244,SUCCESS,SYNTHETIC
WDR-0000031,CASE-00033,TXN-0000277,ACC-00437,7195,2026-01-02T13:16:00.000Z,ATM-112,11.009374,77.001445,SUCCESS,SYNTHETIC
WDR-0000032,CASE-00035,TXN-0000293,ACC-00071,30337,2026-01-02T11:15:00.000Z,ATM-026,12.878033,77.629769,SUCCESS,SYNTHETIC
WDR-0000033,CASE-00035,TXN-0000293,ACC-00071,28033,2026-01-02T12:44:00.000Z,ATM-074,12.953638,77.63555,SUCCESS,SYNTHETIC
WDR-0000034,CASE-00036,TXN-0000302,ACC-00476,25822,2026-01-02T12:44:00.000Z,ATM-037,13.08717,80.341516,SUCCESS,SYNTHETIC
WDR-0000035,CASE-00036,TXN-0000302,ACC-00476,27623,2026-01-02T13:44:00.000Z,ATM-038,12.88813,77.70364,SUCCESS,SYNTHETIC
WDR-0000036,CASE-00036,TXN-0000302,ACC-00476,26819,2026-01-02T15:05:00.000Z,ATM-069,17.323597,78.595274,SUCCESS,SYNTHETIC
WDR-0000037,CASE-00038,TXN-0000319,ACC-00502,19161,2026-01-02T15:22:00.000Z,ATM-059,18.496848,73.775606,SUCCESS,SYNTHETIC
WDR-0000038,CASE-00038,TXN-0000319,ACC-00502,15562,2026-01-02T15:42:00.000Z,ATM-060,16.586214,80.619336,SUCCESS,SYNTHETIC
WDR-0000039,CASE-00038,TXN-0000319,ACC-00502,15160,2026-01-02T16:40:00.000Z,ATM-027,17.424769,78.529179,SUCCESS,SYNTHETIC
WDR-0000040,CASE-00039,TXN-0000326,ACC-00515,14026,2026-01-05T06:00:00.000Z,ATM-070,11.032717,77.063284,SUCCESS,SYNTHETIC
WDR-0000041,CASE-00039,TXN-0000326,ACC-00515,11023,2026-01-05T06:42:00.000Z,ATM-036,16.551649,80.577517,SUCCESS,SYNTHETIC
WDR-0000042,CASE-00040,TXN-0000334,ACC-00081,9820,2026-01-02T16:22:00.000Z,ATM-081,17.422245,78.425296,FAILED,SYNTHETIC
WDR-0000043,CASE-00040,TXN-0000334,ACC-00081,13333,2026-01-02T17:19:00.000Z,ATM-082,10.944047,76.998697,SUCCESS,SYNTHETIC
WDR-0000044,CASE-00040,TXN-0000334,ACC-00081,9868,2026-01-02T18:05:00.000Z,ATM-013,13.03143,80.174292,SUCCESS,SYNTHETIC
WDR-0000045,CASE-00047,TXN-0000397,ACC-00621,16566,2026-01-03T04:43:00.000Z,ATM-038,12.88813,77.70364,SUCCESS,SYNTHETIC
WDR-0000046,CASE-00047,TXN-0000397,ACC-00621,12378,2026-01-03T05:29:00.000Z,ATM-063,17.474796,78.422678,SUCCESS,SYNTHETIC
WDR-0000047,CASE-00049,TXN-0000416,ACC-00645,29318,2026-01-05T00:00:00.000Z,ATM-060,16.586214,80.619336,SUCCESS,SYNTHETIC
WDR-0000048,CASE-00049,TXN-0000416,ACC-00645,31965,2026-01-05T00:35:00.000Z,ATM-059,18.496848,73.775606,SUCCESS,SYNTHETIC
WDR-0000049,CASE-00050,TXN-0000423,ACC-00658,35577,2026-01-03T03:40:00.000Z,ATM-071,18.446451,73.784283,SUCCESS,SYNTHETIC
WDR-0000050,CASE-00050,TXN-0000423,ACC-00658,33295,2026-01-03T03:56:00.000Z,ATM-058,10.978603,77.020134,SUCCESS,SYNTHETIC
WDR-0000051,CASE-00051,TXN-0000432,ACC-00671,23157,2026-01-03T03:19:00.000Z,ATM-082,10.944047,76.998697,SUCCESS,SYNTHETIC
WDR-0000052,CASE-00051,TXN-0000432,ACC-00671,19352,2026-01-03T03:50:00.000Z,ATM-116,12.986728,77.642202,SUCCESS,SYNTHETIC
WDR-0000053,CASE-00053,TXN-0000447,ACC-00697,34965,2026-01-03T08:00:00.000Z,ATM-104,12.959919,77.677844,SUCCESS,SYNTHETIC
WDR-0000054,CASE-00053,TXN-0000447,ACC-00697,29851,2026-01-03T09:04:00.000Z,ATM-012,16.526511,80.544938,SUCCESS,SYNTHETIC
WDR-0000055,CASE-00054,TXN-0000457,ACC-00109,42505,2026-01-04T10:00:00.000Z,ATM-115,13.036717,80.257717,SUCCESS,SYNTHETIC
WDR-0000056,CASE-00054,TXN-0000457,ACC-00109,38074,2026-01-04T11:17:00.000Z,ATM-116,12.986728,77.642202,SUCCESS,SYNTHETIC
WDR-0000057,CASE-00054,TXN-0000457,ACC-00109,39220,2026-01-04T11:48:00.000Z,ATM-065,18.450885,73.757144,SUCCESS,SYNTHETIC
WDR-0000058,CASE-00057,TXN-0000486,ACC-00750,32395,2026-01-03T10:16:00.000Z,ATM-028,11.110925,76.865153,SUCCESS,SYNTHETIC
WDR-0000059,CASE-00057,TXN-0000486,ACC-00750,35007,2026-01-03T10:33:00.000Z,ATM-093,17.45267,78.42255,SUCCESS,SYNTHETIC
WDR-0000060,CASE-00058,TXN-0000496,ACC-00762,45571,2026-01-03T13:22:00.000Z,ATM-039,17.398816,78.578246,SUCCESS,SYNTHETIC
WDR-0000061,CASE-00058,TXN-0000496,ACC-00762,37186,2026-01-03T14:30:00.000Z,ATM-040,11.002278,76.97306,SUCCESS,SYNTHETIC
WDR-0000062,CASE-00058,TXN-0000496,ACC-00762,48099,2026-01-03T14:44:00.000Z,ATM-047,18.475504,73.768893,SUCCESS,SYNTHETIC
WDR-0000063,CASE-00059,TXN-0000505,ACC-00775,14452,2026-01-05T16:00:00.000Z,ATM-050,12.882201,77.589186,FAILED,SYNTHETIC
WDR-0000064,CASE-00059,TXN-0000505,ACC-00775,15448,2026-01-05T16:53:00.000Z,ATM-089,18.444311,73.937579,SUCCESS,SYNTHETIC
WDR-0000065,CASE-00060,TXN-0000512,ACC-00121,16782,2026-01-03T12:45:00.000Z,ATM-061,12.974796,80.322933,SUCCESS,SYNTHETIC
WDR-0000066,CASE-00060,TXN-0000512,ACC-00121,18644,2026-01-03T12:55:00.000Z,ATM-109,12.977093,80.179511,SUCCESS,SYNTHETIC
WDR-0000067,CASE-00064,TXN-0000549,ACC-00129,56585,2026-01-04T12:00:00.000Z,ATM-105,17.424818,78.453535,SUCCESS,SYNTHETIC
